,ExpectedScoreUf,ImprovedExpectedScoreUf,Relative ImprovedExpectedScoreUf
ExpectedScoreUf,0.5,0.75,0.75
ImprovedExpectedScoreUf,0.25,0.8,0.3
Relative ImprovedExpectedScoreUf,0.25,0.7,0.45
