,ExpectedScoreUf,ImprovedExpectedScoreUf,Relative ImprovedExpectedScoreUf
ExpectedScoreUf,2.4,5.2,3.2
ImprovedExpectedScoreUf,3.0,5.3,0.8
Relative ImprovedExpectedScoreUf,1.4,2.2,0.5
