,ExpectedScoreUf,ImprovedExpectedScoreUf,Relative ImprovedExpectedScoreUf
ExpectedScoreUf,3.2,3.9,2.85
ImprovedExpectedScoreUf,3.2,4.0,1.15
Relative ImprovedExpectedScoreUf,0.8,1.8,2.05
